param,variation,value,calmar_simple,sharpe,max_dd,return_pct
BASELINE,0%,,0.10373198245228195,0.8973217740937359,2.1151885918941007,0.21941270589762585
ema_slow,-20%,121.0,0.09426687962561542,0.8154266141715538,2.1146326516637983,0.1993398216267872
ema_slow,+20%,181.0,-0.8419521474286651,-12.755267400684424,3.9624193668105288,-3.336167494899056
rsi_window,-20%,22.0,0.13436824630947575,1.140153820970537,2.115500665884893,0.28425611454148125
rsi_window,+20%,32.0,-0.7899024395942235,-11.26418190886922,3.796208734509347,-2.998634540597833
macd_fast,-20%,18.0,0.10373198245228195,0.8973217740937359,2.1151885918941007,0.21941270589762585
macd_fast,+20%,26.0,0.10373198245228195,0.8973217740937359,2.1151885918941007,0.21941270589762585
macd_slow,-20%,41.0,0.10373198245228195,0.8973217740937359,2.1151885918941007,0.21941270589762585
macd_slow,+20%,61.0,0.10373198245228195,0.8973217740937359,2.1151885918941007,0.21941270589762585
macd_sign,-20%,14.0,0.10373198245228195,0.8973217740937359,2.1151885918941007,0.21941270589762585
macd_sign,+20%,22.0,0.10373198245228195,0.8973217740937359,2.1151885918941007,0.21941270589762585
stop_loss,-20%,0.020888535820809087,0.10414284322263449,0.9162509647949029,2.633554778082125,0.27426588237202676
stop_loss,+20%,0.031332803731213624,0.10345807527203969,0.8846896460125021,1.767323827555863,0.18284392158134377
take_profit,-20%,0.06007408079847927,0.10373198245228195,0.8973217740937359,2.1151885918941007,0.21941270589762585
take_profit,+20%,0.0901111211977189,0.10373198245228195,0.8973217740937359,2.1151885918941007,0.21941270589762585
risk_per_trade,-20%,0.008926952476201037,0.10340329383599577,0.8821619950245733,1.697529722762007,0.17553016471809624
risk_per_trade,+20%,0.013390428714301556,0.10406067106856734,0.9124669394936531,2.5302090057027,0.26329524707715546
